text,image,카테고리_주제,카테고리_품사
단추를풀어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/dan_cu_reul_pul_eo_yo_001_.png,집,동사
단추를풀어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/dan_cu_reul_pul_eo_yo_002_.png,집,동사
매니큐어발라주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/mae_ni_kyu_eo_bal_ra_ju_se_yo_.png,집,동사
맬래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/mael_rae_yo_.png,집,동사
머리땋아주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/meo_ri_ddah_a_ju_se_yo_001_.png,집,동사
머리땋아주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/meo_ri_ddah_a_ju_se_yo_002_.png,집,동사
머리를-잘라요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/meo_ri_reul_jal_ra_yo_002_.png,집,동사
머리를잘라요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/meo_ri_reul_jal_ra_yo_001_.png,집,동사
머리핀꽂아주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/meo_ri_pin_ggoj_a_ju_se_yo_001_.png,집,동사
머리핀꽂아주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/meo_ri_pin_ggoj_a_ju_se_yo_002_.png,집,동사
면도해요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/myeon_do_hae_yo_001_.png,집,동사
면도해요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/myeon_do_hae_yo_002_.png,집,동사
묶어주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/mugg_eo_ju_se_yo_003_.png,집,동사
발라주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/bal_ra_ju_se_yo_.png,집,동사
빗어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/bis_eo_yo_201_.png,집,동사
샤워해요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/sya_weo_hae_yo_001_.png,집,동사
샤워해요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/sya_weo_hae_yo_002_.png,집,동사
세수해요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/se_su_hae_yo_001_.png,집,동사
세수해요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n9_mom_ci_jang_ha_gi_/se_su_hae_yo_002_.png,집,동사
