text,image,카테고리_주제,카테고리_품사,실체,필요성분,명사구분,동사구분
부반장,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/bu_ban_jang_001_.png,학교,명사,2,0,0,0
부반장,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/bu_ban_jang_002_.png,학교,명사,2,0,0,0
부회장,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/bu_hoe_jang_.png,학교,명사,2,0,0,0
사물함,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/sa_mul_ham_1.png,학교,명사,2,0,0,0
삼등,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/sam_deung_.png,학교,명사,1,0,0,0
상장,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/sang_jang_201_.png,학교,명사,2,0,0,0
상패,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/sang_pae_201_.png,학교,명사,2,0,0,0
수학,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/su_hag_001_.png,학교,명사,1,0,0,0
수학,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/su_hag_002_.png,학교,명사,1,0,0,0
쉬는시간,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/swi_neun_si_gan_2.png,학교,명사,1,0,0,0
쉬는시간,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/swi_neun_si_gan_201_.png,학교,명사,1,0,0,0
시간표,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/si_gan_pyo_001_.png,학교,명사,2,0,0,0
시간표,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/si_gan_pyo_002_.png,학교,명사,2,0,0,0
시간표,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/si_gan_pyo_003_.png,학교,명사,2,0,0,0
시간표,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/si_gan_pyo_201_.png,학교,명사,2,0,0,0
신을래요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/sin_eul_rae_yo_.png,학교,동사,0,을,0,0
쓰기공부,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/sseu_gi_gong_bu_201_.png,학교,명사,0,0,0,0
쓸래요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/sseul_rae_yo_1.png,학교,동사,0,을,0,0
알려주세요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/al_ryeo_ju_se_yo_1.png,학교,동사,0,을,0,0
앞으로는안그럴게요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/ap_eu_ro_neun_an_geu_reol_ge_yo_201_.png,학교,동사,0,0,0,0
어디예요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/eo_di_ye_yo_.png,학교,동사,0,0,0,0
어떻게해요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/eo_ddeoh_ge_hae_yo_.png,학교,동사,0,0,0,0
영어,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/yeong_eo_.png,학교,명사,1,0,0,0
왜요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/wae_yo_.png,학교,명사,0,0,0,0
음악,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/eum_ag_2.png,학교,명사,1,0,0,0
이등,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/i_deung_.png,학교,명사,1,0,0,0
이등,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/i_deung_201_.png,학교,명사,1,0,0,0
일등,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/il_deung_.png,학교,명사,1,0,0,0
일등,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/il_deung_201_.png,학교,명사,1,0,0,0
잃어버렸어요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/ilh_eo_beo_ryeoss_eo_yo_.png,학교,동사,0,을,0,0
전학생,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/jeon_hag_saeng_001_.png,학교,명사,2,0,0,0
전학생,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/jeon_hag_saeng_002_.png,학교,명사,2,0,0,0
조례,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/jo_rye_.png,학교,명사,1,0,0,0
종례,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/jong_rye_.png,학교,명사,1,0,0,0
좋아해요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/joh_a_hae_yo_002_.png,학교,명사,0,을,0,0
