text,image,카테고리_주제,카테고리_품사,필요토큰,필요성분
눌러요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/nul_reo_yo_.png,집,0,0,0
다했어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/da_haess_eo_yo_2.png,집,0,0,0
닦아주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/dagg_a_ju_se_yo_.png,집,0,0,0
두드려요(노크해요),http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/du_deu_ryeo_yo_no_keu_hae_yo_.png,집,0,0,0
따뜻한-물(온수),http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/dda_ddeus_han_mul_on_su_001_.png,집,0,0,0
따뜻한-물(온수),http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/dda_ddeus_han_mul_on_su_002_.png,집,0,0,0
린스,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/rin_seu_.png,집,명사,0,0
마려워요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/ma_ryeo_weo_yo_.png,집,0,0,0
말려주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/mal_ryeo_ju_se_yo_.png,집,0,0,0
머리감을래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/meo_ri_gam_eul_rae_yo_.png,집,0,0,0
머리감을래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/meo_ri_gam_eul_rae_yo_201_.png,집,0,0,0
면도기,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/myeon_do_gi_.png,집,0,0,0
목욕해요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n3_hwa_jang_sil_/mog_yog_hae_yo_001_.png,집,0,0,0
